# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
RPS9B	YBR189W	YBR189W	protein_coding	8	1	32	711	0	0	0	0	275	0	0	0	32	0	0	0	0	0	3	5	0	1	436
RPT1	YKL145W	YKL145W	protein_coding	0	135	11	756	0	0	0	0	349	0	0	0	11	0	0	0	0	0	0	0	0	135	407
RPT2	YDL007W	YDL007W	protein_coding	0	141	6	327	0	0	0	0	198	0	0	0	6	0	0	0	0	0	0	0	0	141	129
RPT3	YDR394W	YDR394W	protein_coding	0	128	9	806	0	0	0	0	500	0	0	0	9	0	0	0	0	0	0	0	0	128	306
RPT4	YOR259C	YOR259C	protein_coding	0	138	23	679	0	0	0	0	355	0	0	0	23	0	0	0	0	0	0	0	0	138	324
RPT5	YOR117W	YOR117W	protein_coding	0	150	4	946	0	0	0	0	443	0	0	0	4	0	0	0	0	0	0	0	0	150	503
RPT6	YGL048C	YGL048C	protein_coding	0	136	4	641	0	0	0	0	382	0	0	0	4	0	0	0	0	0	0	0	0	136	259
RRB1	YMR131C	YMR131C	protein_coding	0	171	27	958	0	0	0	0	708	0	0	0	27	0	0	0	0	0	0	0	0	171	250
RRD1	YIL153W	YIL153W	protein_coding	1	105	36	976	0	0	0	0	549	0	0	0	36	0	0	0	0	0	1	0	0	105	427
RRD2	YPL152W	YPL152W	protein_coding	1	105	28	773	0	0	0	0	405	0	0	0	28	0	0	0	1	0	1	0	1	104	368
RRF1	YHR038W	YHR038W	protein_coding	0	54	14	988	0	0	0	0	531	0	0	0	14	0	0	0	0	0	0	0	0	54	457
RRG1	YDR065W	YDR065W	protein_coding	0	34	26	660	0	0	0	0	346	0	0	0	26	0	0	0	0	0	0	0	0	34	314
RRG7	YOR305W	YOR305W	protein_coding	0	50	17	972	0	0	0	0	459	0	0	0	17	0	0	0	0	0	0	0	0	50	513
RRG8	YPR116W	YPR116W	protein_coding	0	0	3	853	0	0	0	0	566	0	0	0	3	0	0	0	0	0	0	0	0	0	287
RRG9	YNL213C	YNL213C	protein_coding	1	28	22	759	0	0	0	0	432	0	0	0	22	0	0	0	0	0	1	0	0	28	327
RRI1	YDL216C	YDL216C	protein_coding	0	80	35	804	0	0	0	0	255	0	0	0	35	0	0	0	0	0	0	0	0	80	549
RRI2	YOL117W	YOL117W	protein_coding	0	148	113	746	0	0	0	0	427	0	0	0	113	0	0	0	0	0	0	0	0	148	319
RRM3	YHR031C	YHR031C	protein_coding	0	196	47	963	0	0	0	0	526	0	0	0	47	0	0	0	0	0	0	0	0	196	437
RRN10	YBL025W	YBL025W	protein_coding	0	29	6	647	0	0	0	0	396	0	0	0	6	0	0	0	0	0	0	0	0	29	251
RRN11	YML043C	YML043C	protein_coding	1	123	90	468	0	0	0	0	1	0	0	0	90	0	0	0	0	0	1	0	0	123	467
RRN3	YKL125W	YKL125W	protein_coding	0	177	54	968	0	0	0	0	435	0	0	0	54	0	0	0	0	0	0	0	0	177	533
RRN5	YLR141W	YLR141W	protein_coding	0	0	3	628	0	0	0	0	297	0	0	0	3	0	0	0	0	0	0	0	0	0	331
RRN6	YBL014C	YBL014C	protein_coding	0	172	81	591	0	0	0	0	240	0	0	0	81	0	0	0	0	0	0	0	0	172	351
RRN7	YJL025W	YJL025W	protein_coding	0	146	75	625	0	0	0	0	261	0	0	0	75	0	0	0	0	0	0	0	0	146	364
RRN9	YMR270C	YMR270C	protein_coding	0	67	38	644	0	0	0	0	431	0	0	0	38	0	0	0	0	0	0	0	0	67	213
RRP1	YDR087C	YDR087C	protein_coding	0	56	23	544	0	0	0	0	323	0	0	0	23	0	0	0	0	0	0	0	0	56	221
RRP12	YPL012W	YPL012W	protein_coding	1	397	114	826	0	0	0	0	424	0	0	0	114	0	0	0	0	0	1	0	0	397	402
RRP14	YKL082C	YKL082C	protein_coding	0	111	39	800	0	0	0	0	403	0	0	0	39	0	0	0	0	0	0	0	0	111	397
RRP15	YPR143W	YPR143W	protein_coding	0	26	6	1054	0	0	0	0	459	0	0	0	6	0	0	0	0	0	0	0	0	26	595
RRP17	YDR412W	YDR412W	protein_coding	0	73	32	706	0	0	0	0	470	0	0	0	32	0	0	0	0	0	0	0	0	73	236
RRP3	YHR065C	YHR065C	protein_coding	0	95	6	776	0	0	0	0	369	0	0	0	6	0	0	0	0	0	0	0	0	95	407
RRP36	YOR287C	YOR287C	protein_coding	0	58	43	640	0	0	0	0	250	0	0	0	43	0	0	0	0	0	0	0	0	58	390
RRP4	YHR069C	YHR069C	protein_coding	1	88	24	627	0	0	0	0	379	0	0	0	24	0	0	0	0	0	1	0	0	88	248
RRP40	YOL142W	YOL142W	protein_coding	0	11	4	973	0	0	0	0	551	0	0	0	4	0	0	0	0	0	0	0	0	11	422
RRP42	YDL111C	YDL111C	protein_coding	0	98	15	1076	0	0	0	0	682	0	0	0	15	0	0	0	0	0	0	0	0	98	394
RRP43	YCR035C	YCR035C	protein_coding	0	73	37	806	0	0	0	0	361	0	0	0	37	0	0	0	0	0	0	0	0	73	445
RRP45	YDR280W	YDR280W	protein_coding	0	99	9	453	0	0	0	0	320	0	0	0	9	0	0	0	0	0	0	0	0	99	133
RRP46	YGR095C	YGR095C	protein_coding	0	82	31	931	0	0	0	0	456	0	0	0	31	0	0	0	0	0	0	0	0	82	475
RRP5	YMR229C	YMR229C	protein_coding	1	539	204	750	0	0	0	0	341	0	0	0	204	0	0	0	0	0	1	0	0	539	409
RRP6	YOR001W	YOR001W	protein_coding	1	137	64	856	0	0	0	0	472	0	0	0	64	0	0	0	0	0	1	0	0	137	384
RRP7	YCL031C	YCL031C	protein_coding	0	100	22	1109	0	0	0	0	489	0	0	0	22	0	0	0	0	0	0	0	0	100	620
RRP8	YDR083W	YDR083W	protein_coding	0	66	26	772	0	0	0	0	343	0	0	0	26	0	0	0	0	0	0	0	0	66	429
RRP9	YPR137W	YPR137W	protein_coding	0	181	51	463	0	0	0	0	4	0	0	0	51	0	0	0	0	0	0	0	0	181	459
RRS1	YOR294W	YOR294W	protein_coding	0	68	11	1098	0	0	0	0	622	0	0	0	11	0	0	0	0	0	0	0	0	68	476
RRT1	YBL048W	YBL048W	protein_coding	1	0	1	770	0	0	0	0	380	1	0	0	1	0	0	0	0	0	0	0	0	0	390
RRT12	YCR045C	YCR045C	protein_coding	0	129	20	775	0	0	0	0	424	0	0	0	20	0	0	0	0	0	0	0	0	129	351
RRT13	YER066W	YER066W	protein_coding	0	1	1	530	0	0	0	0	314	0	0	0	1	0	0	0	0	0	0	0	0	1	216
RRT14	YIL127C	YIL127C	protein_coding	0	33	20	1145	0	0	0	0	578	0	0	0	20	0	0	0	0	0	0	0	0	33	567
RRT15	YLR162W-A	YLR162W-A	protein_coding	0	0	2	339	0	0	0	0	339	0	0	0	2	0	0	0	0	0	0	0	0	0	0
RRT16	YNL105W	YNL105W	protein_coding	0	2	0	772	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	2	505
RRT2	YBR246W	YBR246W	protein_coding	0	48	17	907	0	0	0	0	470	0	0	0	17	0	0	0	0	0	0	0	0	48	437
RRT5	YFR032C	YFR032C	protein_coding	1	0	3	653	1	1	0	0	501	1	0	0	1	0	0	0	0	0	0	0	0	0	152
RRT6	YGL146C	YGL146C	protein_coding	0	85	53	803	0	0	0	0	431	0	0	0	53	0	0	0	0	0	0	0	0	85	372
RRT7	YLL030C	YLL030C	protein_coding	0	0	0	861	0	0	0	0	578	0	0	0	0	0	0	0	0	0	0	0	0	0	283
RRT8	YOL048C	YOL048C	protein_coding	0	106	39	998	0	0	0	0	456	0	0	5	39	0	0	0	2	0	0	0	0	106	537
RSA1	YPL193W	YPL193W	protein_coding	0	2	1	761	0	0	0	0	391	0	0	0	1	0	0	0	0	0	0	0	0	2	370
RSA3	YLR221C	YLR221C	protein_coding	0	1	0	788	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	1	516
RSA4	YCR072C	YCR072C	protein_coding	0	177	24	825	0	0	0	0	220	0	0	0	24	0	0	0	0	0	0	0	0	177	605
RSB1	YOR049C	YOR049C	protein_coding	1	114	31	770	0	0	0	0	460	0	0	0	31	0	0	0	0	0	1	0	0	114	310
RSC1	YGR056W	YGR056W	protein_coding	0	235	88	826	0	0	0	0	420	0	0	0	88	0	0	0	0	0	0	0	0	235	406
RSC2	YLR357W	YLR357W	protein_coding	1	282	57	722	0	0	0	0	473	0	0	0	57	0	0	0	0	0	1	0	0	282	249
RSC3	YDR303C	YDR303C	protein_coding	0	206	65	869	0	0	0	0	477	0	0	0	65	0	0	0	0	0	0	0	0	206	392
RSC30	YHR056C	YHR056C	protein_coding	0	44	28	559	0	0	0	0	174	0	0	0	28	0	0	0	0	0	0	0	0	44	385
RSC4	YKR008W	YKR008W	protein_coding	0	150	35	533	0	0	0	0	402	0	0	0	35	0	0	0	0	0	0	0	0	150	131
RSC58	YLR033W	YLR033W	protein_coding	0	108	30	1048	0	0	0	0	457	0	0	0	30	0	0	0	0	0	0	0	0	108	591
RSC6	YCR052W	YCR052W	protein_coding	0	99	53	685	0	0	0	0	346	0	0	0	53	0	0	0	0	0	0	0	0	99	339
RSC8	YFR037C	YFR037C	protein_coding	0	144	31	574	0	0	0	0	120	0	0	0	31	0	0	0	0	0	0	0	0	144	454
RSC9	YML127W	YML127W	protein_coding	0	185	32	619	0	0	0	0	309	0	0	0	32	0	0	0	0	0	0	0	0	185	310
RSE1	YML049C	YML049C	protein_coding	2	309	141	1034	0	0	0	0	443	0	0	0	141	0	0	0	0	0	2	0	0	309	591
RSF1	YMR030W	YMR030W	protein_coding	0	38	16	900	0	0	0	0	520	0	0	0	16	0	0	0	0	0	0	0	0	38	380
RSF2	YJR127C	YJR127C	protein_coding	0	296	136	767	0	1	0	0	421	0	0	0	135	0	0	0	0	0	0	0	0	296	346
RSM10	YDR041W	YDR041W	protein_coding	0	0	1	211	0	0	0	0	152	0	0	0	1	0	0	0	0	0	0	0	0	0	59
RSM18	YER050C	YER050C	protein_coding	0	2	2	678	0	0	0	0	295	0	0	0	2	0	0	0	0	0	0	0	0	2	383
RSM19	YNR037C	YNR037C	protein_coding	0	22	4	722	0	0	0	0	381	0	0	0	4	0	0	0	0	0	0	0	0	22	341
RSM22	YKL155C	YKL155C	protein_coding	0	125	56	607	0	0	0	0	315	0	0	0	56	0	0	0	0	0	0	0	0	125	292
RSM23	YGL129C	YGL129C	protein_coding	1	127	53	894	0	0	0	0	485	0	0	0	53	0	0	0	0	0	1	0	0	127	409
RSM24	YDR175C	YDR175C	protein_coding	1	109	35	702	0	0	0	0	315	0	0	0	35	0	0	0	1	0	0	1	0	109	387
RSM25	YIL093C	YIL093C	protein_coding	0	61	31	767	0	0	0	0	410	0	0	0	31	0	0	0	0	0	0	0	0	61	357
RSM26	YJR101W	YJR101W	protein_coding	1	69	27	742	0	0	0	0	393	0	0	0	27	0	0	0	0	0	1	0	0	69	349
RSM27	YGR215W	YGR215W	protein_coding	0	35	4	822	0	0	0	0	585	0	0	0	4	0	0	0	0	0	0	0	0	35	237
RSM28	YDR494W	YDR494W	protein_coding	0	28	23	935	0	0	0	0	595	0	0	0	23	0	0	0	0	0	0	0	0	28	340
RSM7	YJR113C	YJR113C	protein_coding	0	21	2	530	0	0	0	0	351	0	0	0	2	0	0	0	0	0	0	0	0	21	179
RSN1	YMR266W	YMR266W	protein_coding	1	327	116	802	0	0	0	0	366	0	0	0	116	0	0	0	0	0	1	0	0	327	436
RSP5	YER125W	YER125W	protein_coding	0	244	31	649	0	0	0	0	350	0	0	0	31	0	0	0	0	0	0	0	0	244	299
RSR1	YGR152C	YGR152C	protein_coding	0	70	8	831	0	0	0	0	427	0	0	0	8	0	0	0	0	0	0	0	0	70	404
RTA1	YGR213C	YGR213C	protein_coding	0	99	32	785	0	0	0	0	379	0	0	0	32	0	0	0	0	0	0	0	0	99	406
RTC1	YOL138C	YOL138C	protein_coding	1	387	158	994	0	2	0	0	549	0	0	0	156	0	0	0	0	0	1	0	0	387	445
RTC2	YBR147W	YBR147W	protein_coding	1	76	49	624	0	0	0	0	362	0	0	0	49	0	0	0	0	0	1	0	0	76	262
RTC3	YHR087W	YHR087W	protein_coding	0	20	7	862	0	0	0	0	453	0	0	0	7	0	0	0	0	0	0	0	0	20	409
RTC4	YNL254C	YNL254C	protein_coding	0	13	5	972	0	0	0	0	635	0	0	0	5	0	0	0	0	0	0	0	0	13	337
RTC5	YOR118W	YOR118W	protein_coding	0	180	70	833	0	0	0	0	393	0	0	0	70	0	0	0	0	0	0	0	0	180	440
RTC6	YPL183W-A	YPL183W-A	protein_coding	0	0	1	942	0	0	0	0	605	0	0	0	1	0	0	0	0	0	0	0	0	0	337
RTF1	YGL244W	YGL244W	protein_coding	0	167	36	1095	0	0	0	0	670	0	0	0	36	0	0	0	0	0	0	0	0	167	425
RTG1	YOL067C	YOL067C	protein_coding	0	80	10	906	0	0	0	0	475	0	0	0	10	0	0	0	0	0	0	0	0	80	431
RTG2	YGL252C	YGL252C	protein_coding	0	178	17	786	0	0	0	0	216	0	0	0	17	0	0	0	0	0	0	0	0	178	570
RTG3	YBL103C	YBL103C	protein_coding	0	148	60	926	0	0	0	0	459	0	0	0	60	0	0	0	0	0	0	0	0	148	467
RTK1	YDL025C	YDL025C	protein_coding	1	159	39	497	0	0	0	0	442	0	0	0	39	0	0	0	0	0	1	0	0	159	55
RTN1	YDR233C	YDR233C	protein_coding	0	22	6	799	0	0	0	0	381	0	0	0	6	0	0	0	0	0	0	0	0	22	418
RTN2	YDL204W	YDL204W	protein_coding	0	104	34	900	0	0	0	0	437	0	0	0	34	0	0	0	0	0	0	0	0	104	463
RTR1	YER139C	YER139C	protein_coding	0	46	5	478	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	46	477
RTR2	YDR066C	YDR066C	protein_coding	1	3	2	795	0	0	0	0	326	0	0	0	2	0	0	0	0	0	1	0	0	3	469
RTS1	YOR014W	YOR014W	protein_coding	1	199	35	705	0	0	0	0	417	0	0	0	35	0	0	0	0	0	1	0	0	199	288
RTS2	YOR077W	YOR077W	protein_coding	0	62	27	639	0	0	0	0	360	0	0	0	27	0	0	0	0	0	0	0	0	62	279
RTS3	YGR161C	YGR161C	protein_coding	0	37	9	489	0	0	0	0	411	0	0	0	9	0	0	0	1	0	0	0	1	36	78
RTT10	YPL183C	YPL183C	protein_coding	0	296	183	639	0	0	0	0	336	0	0	0	183	0	0	0	0	0	0	0	0	296	303
RTT101	YJL047C	YJL047C	protein_coding	1	189	112	743	0	0	0	0	454	0	0	0	112	0	0	0	0	0	1	0	0	189	289
RTT102	YGR275W	YGR275W	protein_coding	0	15	15	856	0	0	0	0	354	0	0	0	15	0	0	0	0	0	0	0	0	15	502
RTT103	YDR289C	YDR289C	protein_coding	0	115	47	1052	1	0	0	0	417	0	0	0	46	0	0	0	0	0	0	0	0	115	635
RTT105	YER104W	YER104W	protein_coding	0	0	1	740	0	0	0	0	505	0	0	0	1	0	0	0	0	0	0	0	0	0	235
RTT106	YNL206C	YNL206C	protein_coding	0	125	30	899	0	0	0	0	229	0	0	0	30	0	0	0	0	0	0	0	0	125	670
RTT107	YHR154W	YHR154W	protein_coding	1	204	100	957	0	0	0	0	463	0	0	0	100	0	0	0	0	0	1	0	0	204	494
RTT109	YLL002W	YLL002W	protein_coding	0	83	57	1047	0	0	0	0	497	0	0	0	57	0	0	0	0	0	0	0	0	83	550
RUB1	YDR139C	YDR139C	protein_coding	0	12	1	777	0	0	0	0	286	0	0	0	1	0	0	0	0	0	0	0	0	12	491
RUD3	YOR216C	YOR216C	protein_coding	0	85	34	747	0	0	0	0	329	0	0	0	34	0	0	0	0	0	0	0	0	85	418
RUF20	RUF20	RUF20	lincRNA	0	0	0	1234	0	0	0	0	588	0	0	0	0	3	0	0	0	0	0	0	0	0	643
RUF21	RUF21	RUF21	lincRNA	0	0	0	799	0	0	0	0	269	0	0	0	0	5	0	0	0	0	0	0	0	0	525
RUF22	RUF22	RUF22	lincRNA	0	0	0	943	0	0	0	0	552	0	0	0	0	10	0	0	0	0	0	0	0	0	381
RUF23	RUF23	RUF23	lincRNA	0	0	0	628	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	525
RUF5-1	RUF5-1	RUF5-1	lincRNA	0	0	0	541	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	454
RUF5-2	RUF5-2	RUF5-2	lincRNA	0	0	0	498	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	229
RUP1	YOR138C	YOR138C	protein_coding	0	121	78	785	0	0	0	0	301	0	0	0	78	0	0	0	0	0	0	0	0	121	484
RVB1	YDR190C	YDR190C	protein_coding	0	138	12	816	0	0	0	0	501	0	0	0	12	0	0	0	0	0	0	0	0	138	315
RVB2	YPL235W	YPL235W	protein_coding	0	106	12	671	0	0	0	0	303	0	0	0	12	0	0	0	0	0	0	0	0	106	368
RVS161	YCR009C	YCR009C	protein_coding	0	86	1	674	0	0	0	0	253	0	0	0	1	0	0	0	0	0	0	0	0	86	421
RVS167	YDR388W	YDR388W	protein_coding	0	87	10	737	0	0	0	0	381	0	0	0	10	0	0	0	0	0	0	0	0	87	356
RXT2	YBR095C	YBR095C	protein_coding	0	82	15	1319	0	0	0	0	591	0	0	0	15	0	0	0	0	0	0	0	0	82	728
RXT3	YDL076C	YDL076C	protein_coding	0	93	57	906	0	0	0	0	527	0	0	0	57	0	0	0	0	0	0	0	0	93	379
SAC1	YKL212W	YKL212W	protein_coding	0	189	50	1092	0	0	0	0	545	0	0	0	50	0	0	0	0	0	0	0	0	189	547
SAC3	YDR159W	YDR159W	protein_coding	0	240	88	833	0	0	0	0	574	0	0	0	88	0	0	0	0	0	0	0	0	240	259
SAC6	YDR129C	YDR129C	protein_coding	0	169	13	1003	0	0	0	0	566	0	0	0	13	0	0	0	0	0	0	0	0	169	437
SAC7	YDR389W	YDR389W	protein_coding	0	180	53	665	0	0	0	0	265	0	0	0	53	0	0	0	0	0	0	0	0	180	400
SAD1	YFR005C	YFR005C	protein_coding	0	80	45	966	0	0	0	0	483	0	0	0	45	0	0	0	0	0	0	0	0	80	483
SAE2	YGL175C	YGL175C	protein_coding	0	9	3	946	0	0	0	0	472	0	0	0	3	0	0	0	0	0	0	0	0	9	474
SAE3	YHR079C-A	YHR079C-A	protein_coding	2	2	22	673	0	0	0	0	481	0	0	1	22	0	0	0	0	0	0	2	1	1	191
SAF1	YBR280C	YBR280C	protein_coding	0	117	54	816	0	0	0	0	310	0	0	0	54	0	0	0	0	0	0	0	0	117	506
SAG1	YJR004C	YJR004C	protein_coding	0	70	40	878	0	0	0	0	482	0	0	0	40	0	0	0	0	0	0	0	0	70	396
SAH1	YER043C	YER043C	protein_coding	0	101	9	740	0	0	0	0	541	0	0	0	9	0	0	0	0	0	0	0	0	101	199
SAK1	YER129W	YER129W	protein_coding	0	306	144	516	0	0	0	0	195	0	0	0	144	0	0	0	0	0	0	0	0	306	321
SAL1	YNL083W	YNL083W	protein_coding	0	127	68	866	0	0	0	0	473	0	0	0	68	0	0	0	0	0	0	0	0	127	393
SAM1	YLR180W	YLR180W	protein_coding	0	81	5	876	0	0	0	0	502	0	0	0	5	0	0	0	0	0	0	0	0	81	374
SAM2	YDR502C	YDR502C	protein_coding	0	114	11	894	0	0	0	0	480	0	0	0	11	0	0	0	0	0	0	0	0	114	414
SAM3	YPL274W	YPL274W	protein_coding	0	230	42	426	0	0	0	0	406	0	0	0	42	0	0	0	1	0	0	0	1	229	20
SAM35	YHR083W	YHR083W	protein_coding	0	67	67	921	0	0	0	0	470	0	0	0	67	0	0	0	0	0	0	0	0	67	451
SAM37	YMR060C	YMR060C	protein_coding	0	68	43	948	0	0	0	0	465	0	0	0	43	0	0	0	0	0	0	0	0	68	483
SAM4	YPL273W	YPL273W	protein_coding	0	111	23	593	0	0	0	0	291	0	0	0	23	0	0	0	0	0	0	0	0	111	302
SAM50	YNL026W	YNL026W	protein_coding	0	156	67	570	0	0	0	0	146	0	0	0	67	0	0	0	0	0	0	0	0	156	424
SAN1	YDR143C	YDR143C	protein_coding	0	46	40	980	0	1	0	0	458	0	0	0	39	0	0	0	0	0	0	0	0	46	522
SAP1	YER047C	YER047C	protein_coding	1	167	48	411	0	0	0	0	156	1	0	0	48	0	0	0	1	0	0	1	0	167	255
SAP155	YFR040W	YFR040W	protein_coding	0	347	85	957	0	0	0	1	502	0	0	0	84	0	0	0	0	0	0	0	0	347	455
SAP185	YJL098W	YJL098W	protein_coding	1	233	107	1100	0	0	0	0	518	0	0	0	107	0	0	0	0	0	1	0	0	233	582
SAP190	YKR028W	YKR028W	protein_coding	0	210	61	1014	0	0	0	0	514	0	0	0	61	0	0	0	0	0	0	0	0	210	500
SAP30	YMR263W	YMR263W	protein_coding	0	26	3	1168	0	0	0	0	584	0	0	0	3	0	0	0	0	0	0	0	0	26	584
SAP4	YGL229C	YGL229C	protein_coding	2	146	73	882	0	0	0	0	527	1	0	0	73	0	0	0	0	0	1	0	0	146	355
SAR1	YPL218W	YPL218W	protein_coding	3	2	25	949	0	0	0	0	465	0	0	16	25	0	0	0	1	0	1	2	0	1	469
SAS10	YDL153C	YDL153C	protein_coding	1	142	50	1141	1	0	0	0	645	0	0	0	49	0	0	0	0	0	1	0	0	142	496
SAS2	YMR127C	YMR127C	protein_coding	0	60	15	859	0	0	0	0	421	0	0	0	15	0	0	0	0	0	0	0	0	60	438
SAS3	YBL052C	YBL052C	protein_coding	1	158	94	784	0	1	0	0	431	0	0	0	93	0	0	0	0	0	1	0	0	158	353
SAS4	YDR181C	YDR181C	protein_coding	0	51	23	852	0	0	0	0	517	0	0	0	23	0	0	0	0	0	0	0	0	51	335
SAS5	YOR213C	YOR213C	protein_coding	0	1	1	846	0	0	0	0	501	0	0	0	1	0	0	0	0	0	0	0	0	1	345
SAT4	YCR008W	YCR008W	protein_coding	0	180	39	396	0	0	0	0	364	0	0	0	39	0	0	0	0	0	0	0	0	180	32
SAW1	YAL027W	YAL027W	protein_coding	0	1	0	1011	0	0	0	0	545	0	0	0	0	0	0	0	0	0	0	0	0	1	466
SAY1	YGR263C	YGR263C	protein_coding	0	110	60	883	0	0	0	0	438	0	0	0	60	0	0	0	0	0	0	0	0	110	445
SBA1	YKL117W	YKL117W	protein_coding	0	57	14	944	0	0	0	0	463	0	0	0	14	0	0	0	0	0	0	0	0	57	481
SBE2	YDR351W	YDR351W	protein_coding	0	121	75	629	0	0	0	0	335	0	0	0	75	0	0	0	0	0	0	0	0	121	294
SBE22	YHR103W	YHR103W	protein_coding	2	241	105	718	0	0	0	0	304	0	0	0	105	0	0	0	0	0	2	0	0	241	414
SBH1	YER087C-B	YER087C-B	protein_coding	0	2	0	652	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	0	0	2	305
SBH2	YER019C-A	YER019C-A	protein_coding	0	16	3	897	0	0	0	0	431	0	0	0	3	0	0	0	0	0	0	0	0	16	466
SBP1	YHL034C	YHL034C	protein_coding	1	65	28	718	0	0	0	0	354	0	0	0	28	0	0	0	1	0	1	0	1	64	364
SCC2	YDR180W	YDR180W	protein_coding	0	362	148	678	0	0	0	0	329	0	0	0	148	0	0	0	0	0	0	0	0	362	349
SCC4	YER147C	YER147C	protein_coding	0	125	63	750	0	0	0	0	443	0	0	0	63	0	0	0	0	0	0	0	0	125	307
SCD5	YOR329C	YOR329C	protein_coding	0	126	69	1090	0	0	0	0	614	0	0	0	69	0	0	0	0	0	0	0	0	126	476
SCD6	YPR129W	YPR129W	protein_coding	0	48	29	542	0	0	0	0	174	0	0	0	29	0	0	0	0	0	0	0	0	48	368
SCEI	Q0160	Q0160	protein_coding	0	0	0	74	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	58
SCH9	YHR205W	YHR205W	protein_coding	0	253	39	887	0	0	0	0	467	0	0	0	39	0	0	0	0	0	0	0	0	253	420
SCJ1	YMR214W	YMR214W	protein_coding	0	97	26	937	0	0	0	0	488	0	0	0	26	0	0	0	0	0	0	0	0	97	449
SCL1	YGL011C	YGL011C	protein_coding	0	91	7	893	0	0	0	0	559	0	0	0	7	0	0	0	0	0	0	0	0	91	334
SCM3	YDL139C	YDL139C	protein_coding	0	28	28	629	0	0	0	0	398	0	0	0	28	0	0	0	0	0	0	0	0	28	231
SCM4	YGR049W	YGR049W	protein_coding	0	52	11	682	0	0	0	0	135	0	0	0	11	0	0	0	0	0	0	0	0	52	547
SCO1	YBR037C	YBR037C	protein_coding	0	72	20	687	0	0	0	0	266	0	0	0	20	0	0	0	0	0	0	0	0	72	421
SCO2	YBR024W	YBR024W	protein_coding	0	45	17	770	0	0	0	0	324	0	0	0	17	0	0	0	0	0	0	0	0	45	446
SCP1	YOR367W	YOR367W	protein_coding	1	58	23	887	0	0	0	0	403	0	0	0	23	0	0	0	0	0	1	0	0	58	484
SCP160	YJL080C	YJL080C	protein_coding	0	336	89	682	0	0	0	0	556	0	0	0	89	0	0	0	0	0	0	0	0	336	126
SCR1	SCR1	SCR1	lincRNA	0	0	0	250	0	0	0	0	2	0	0	0	0	23	0	0	0	0	0	0	0	0	225
SCS2	YER120W	YER120W	protein_coding	0	56	25	703	0	0	0	0	291	0	0	0	25	0	0	0	0	0	0	0	0	56	412
SCS22	YBL091C-A	YBL091C-A	protein_coding	9	11	34	1025	0	0	0	0	426	0	0	26	34	0	0	0	3	0	4	5	2	8	574
SCS3	YGL126W	YGL126W	protein_coding	0	42	9	983	0	0	0	0	510	0	0	0	9	0	0	0	0	0	0	0	0	42	473
SCS7	YMR272C	YMR272C	protein_coding	0	101	15	458	0	0	0	0	196	0	0	0	15	0	0	0	0	0	0	0	0	101	262
SCT1	YBL011W	YBL011W	protein_coding	0	213	30	693	0	0	1	0	373	0	0	0	29	0	0	0	0	0	0	0	0	213	320
SCW10	YMR305C	YMR305C	protein_coding	0	102	27	1164	0	0	0	0	531	0	0	0	27	0	0	0	0	0	0	0	0	102	633
SCW11	YGL028C	YGL028C	protein_coding	0	80	23	462	0	0	0	0	62	0	0	0	23	0	0	0	0	0	0	0	0	80	400
SCW4	YGR279C	YGR279C	protein_coding	0	67	44	806	0	0	0	0	354	0	0	0	44	0	0	0	0	0	0	0	0	67	452
SCY1	YGL083W	YGL083W	protein_coding	0	200	58	720	0	0	0	0	354	0	0	0	58	0	0	0	0	0	0	0	0	200	366
SDA1	YGR245C	YGR245C	protein_coding	0	192	37	582	0	0	0	0	300	0	0	0	37	0	0	0	0	0	0	0	0	192	282
SDC1	YDR469W	YDR469W	protein_coding	0	15	12	719	0	0	0	0	407	0	0	0	12	0	0	0	0	0	0	0	0	15	312
SDC25	YLL016W	YLL016W	pseudogene	0	1	0	1122	0	0	0	0	648	0	0	0	0	371	0	0	1	0	0	0	0	0	104
SDH1	YKL148C	YKL148C	protein_coding	0	193	9	819	0	0	0	0	437	0	0	0	9	0	0	0	0	0	0	0	0	193	382
SDH2	YLL041C	YLL041C	protein_coding	0	74	9	1034	0	0	0	0	310	0	0	0	9	0	0	0	0	0	0	0	0	74	724
